volatile acidity,citric acid,total sulfur dioxide,sulphates,alcohol
0.21,0.52,23.0,0.67,10.4
0.91,0.06,11.0,0.64,10.9
0.59,0.18,74.0,0.54,9.4
0.645,0.03,57.0,0.46,10.3
0.36,0.32,8.0,0.55,12.8
0.58,0.08,65.0,0.54,9.2
0.63,0.07,44.0,0.55,10.4
0.82,0.05,96.0,0.53,10.0
0.35,0.29,53.0,0.65,11.0
0.56,0.08,44.0,0.52,11.0
0.34,0.45,15.0,0.66,9.2
0.53,0.66,14.0,0.74,11.5
0.52,0.45,13.0,0.76,11.4
0.43,0.39,32.0,0.5,9.6
0.69,0.07,21.0,0.6,11.3
0.46,0.52,35.0,0.56,9.0
0.76,0.0,52.0,0.6,11.5
0.67,0.55,141.0,0.62,9.4
0.685,0.23,84.0,0.61,9.3
0.575,0.61,24.0,0.69,9.0
0.38,0.66,41.0,0.68,9.8
0.59,0.0,58.0,0.65,9.3
0.38,0.32,71.0,0.85,11.0
0.24,0.54,57.0,0.54,9.2
0.6,0.03,99.0,0.54,10.1
0.88,0.28,147.0,0.53,9.4
0.49,0.58,43.0,0.58,9.0
0.35,0.41,61.0,0.5,9.5
0.27,0.41,16.0,0.7,9.7
0.55,0.01,15.0,0.58,11.0
0.22,0.36,77.0,0.87,11.0
0.78,0.08,19.0,0.47,10.0
0.56,0.04,22.0,0.44,9.6
0.61,0.14,42.0,0.59,9.5
0.34,0.4,9.0,0.66,11.6
0.56,0.26,100.0,0.52,9.9
0.34,0.37,74.0,0.81,12.0
0.46,0.26,53.0,0.74,9.2
0.59,0.01,85.0,0.59,9.8
0.45,0.15,28.0,0.51,9.9
0.38,0.48,17.0,1.05,9.4
0.38,0.55,16.0,0.54,9.4
0.54,0.45,40.0,0.62,9.4
0.33,0.41,13.0,0.62,12.1
0.53,0.33,144.0,0.6,9.5
0.39,0.44,48.0,0.84,11.5
0.44,0.46,41.0,0.69,11.9
0.685,0.11,31.0,0.7,10.1
0.855,0.02,38.0,0.56,10.75
0.49,0.33,85.0,0.58,9.0
0.56,0.19,47.0,0.93,9.5
0.35,0.21,102.0,0.58,9.5
0.395,0.13,28.0,0.67,12.4
0.52,0.08,26.0,0.72,12.5
0.43,0.52,23.0,0.61,11.3
0.39,0.69,35.0,0.61,10.8
0.3,0.42,24.0,0.82,11.9
0.4,0.49,142.0,0.55,9.4
0.47,0.49,47.0,0.68,12.7
0.42,0.31,42.0,0.64,9.0
0.805,0.0,20.0,0.56,9.6
0.4,0.41,17.0,0.67,9.3
0.64,0.21,133.0,0.45,9.9
0.49,0.19,26.0,0.64,9.8
